nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Bonson,3593,3700,107
Tence,3193,3300,107
Pompey,4993,5100,107
Petite-Rosselle,6593,6700,107
Saint-Brice,693,800,107
La Verrière,5993,6100,107
Saintry-sur-Seine,5093,5200,107
Bettancourt-la-Ferrée,1794,1900,106
Autreville-sur-la-Renne,394,500,106
Malzéville,8094,8200,106
Wittenheim,14194,14300,106
Bonnétable,3994,4100,106
Saint-Saturnin-lès-Avignon,4894,5000,106
Puiseux-en-France,3294,3400,106
Le Bouscat,23095,23200,105
Carnac,4295,4400,105
Cousolre,2395,2500,105
Rambervillers,5595,5700,105
Courdimanche,6495,6600,105
Dortan,1996,2100,104
Noyelles-sous-Lens,6896,7000,104
Rixheim,12996,13100,104
Châtenois-les-Forges,2696,2800,104
Saint-Mandé,22396,22500,104
Rosselange,2897,3000,103
Anzin-Saint-Aubin,2697,2800,103
Sélestat,19197,19300,103
Reichstett,4397,4500,103
Sainte-Croix-aux-Mines,1997,2100,103
Chailly-en-Bière,1997,2100,103
Ault,1697,1800,103
Franconville,33097,33200,103
Mouans-Sartoux,10198,10300,102
Mareuil-le-Port,1198,1300,102
Revigny-sur-Ornain,3098,3200,102
Hazebrouck,21598,21700,102
Auchy-lès-Hesdin,1698,1800,102
Barberaz,4598,4700,102
Pringy,2498,2600,102
Bondoufle,9298,9400,102
Luc-sur-Mer,3099,3200,101
Lormont,19799,19900,101
Leuville-sur-Orge,4099,4200,101
Saint-Girons,6500,6600,100
Graçay,1500,1600,100
Tinqueux,10300,10400,100
Terre-Natale,300,400,100
Lamorlaye,9300,9400,100
Sougé-le-Ganelon,900,1000,100
Saint-Thibault-des-Vignes,6300,6400,100
Valréas,9800,9900,100
Quillan,3301,3400,99
Josselin,2501,2600,99
Volgelsheim,2401,2500,99
Notre-Dame-de-Gravenchon,8101,8200,99
Maule,5801,5900,99
Signes,2801,2900,99
Penne-d'Agenais,2402,2500,98
Écaillon,2002,2100,98
La Wantzenau,5902,6000,98
Mulsanne,4402,4500,98
Mouzon,2303,2400,97
Saint-Satur,1603,1700,97
Margon,1203,1300,97
Wissembourg,7803,7900,97
Riquewihr,1203,1300,97
Lacaune,2603,2700,97
Dieulefit,3004,3100,96
Saint-Pol-de-Léon,6904,7000,96
Sermaize-les-Bains,2104,2200,96
Knutange,3304,3400,96
Corbigny,1604,1700,96
Ménerbes,1104,1200,96
Paron,4404,4500,96
Épinay-sur-Orge,10104,10200,96
Brazey-en-Plaine,2505,2600,95
Châtillon-le-Duc,1905,2000,95
Andelys,8205,8300,95
Le Coteau,6905,7000,95
Avesnelles,2505,2600,95
Bagnoles-de-l'Orne,2405,2500,95
Coupvray,2705,2800,95
La Bresse,4605,4700,95
Gannat,5806,5900,94
Saint-Vaury,1806,1900,94
Bessèges,3106,3200,94
Chatte,2406,2500,94
Luzinay,2206,2300,94
Puy-l'Évêque,2106,2200,94
Dormans,2906,3000,94
Damigny,2806,2900,94
Écouché,1306,1400,94
Châtenoy-le-Royal,5906,6000,94
Cléon,5606,5700,94
Harly,1707,1800,93
Carignan,3107,3200,93
Sancerre,1607,1700,93
Rostrenen,3307,3400,93
Île-de-Batz,507,600,93
Cugnaux,15807,15900,93
Moulins-Engilbert,1607,1700,93
Vimoutiers,3807,3900,93
Saint-Jean-les-Deux-Jumeaux,1107,1200,93
Neuvéglise,1108,1200,92
Saint-Florent-sur-Cher,6608,6700,92
Audierne,2208,2300,92
Watten,2608,2700,92
Lourches,3908,4000,92
Argelès-Gazost,3208,3300,92
Biederthal,308,400,92
Bombon,908,1000,92
Feucherolles,2908,3000,92
Saint-Prix,7308,7400,92
Étreux,1509,1600,91
Verteuil-sur-Charente,609,700,91
Soubise,2909,3000,91
Larche,1609,1700,91
Saint-Marcel,4909,5000,91
Plouescat,3609,3700,91
Roscanvel,909,1000,91
Saint-Paul-lès-Dax,12409,12500,91
Piriac-sur-Mer,2209,2300,91
Muizon,2209,2300,91
Courcité,909,1000,91
Saint-Clément,2809,2900,91
Neuvy,1510,1600,90
Cabris,1410,1500,90
Neuvic,1810,1900,90
La Roche-Derrien,1010,1100,90
Pouancé,3110,3200,90
Wizernes,3310,3400,90
Lhomme,910,1000,90
Croissy-Beaubourg,2010,2100,90
Saint-Yrieix-la-Perche,6910,7000,90
Magnac-Laval,1810,1900,90
Malay-le-Grand,1510,1600,90
Confolens,2711,2800,89
Fonsorbes,11111,11200,89
Fargues-Saint-Hilaire,2711,2800,89
Betton,10111,10200,89
Cébazat,7611,7700,89
Belbeuf,2011,2100,89
Gaillefontaine,1311,1400,89
Ribemont-sur-Ancre,611,700,89
Paray-Vieille-Poste,7111,7200,89
Plombières-lès-Dijon,2812,2900,88
Saint-Gervais-la-Forêt,3312,3400,88
Laxou,14812,14900,88
Arzon,2112,2200,88
Courchelettes,2712,2800,88
Bourron-Marlotte,2712,2800,88
Buc,5312,5400,88
Saint-Maurice,14512,14600,88
Fontenay-en-Parisis,1912,2000,88
Meillant,713,800,87
Montbard,5513,5600,87
Bègles,24913,25000,87
Seyssins,6913,7000,87
Seyssinet-Pariset,12113,12200,87
Saint-Cyprien,2313,2400,87
Soudan,2013,2100,87
Villeneuve-sur-Lot,23513,23600,87
Blainville-sur-l'Eau,4013,4100,87
Saint-Aubin-en-Bray,1013,1100,87
Langensoultzbach,913,1000,87
Bonnelles,1913,2000,87
Vaux-sur-Seine,4813,4900,87
Tournes,1014,1100,86
Cagny,1414,1500,86
Laroquebrou,814,900,86
Langogne,3014,3100,86
Serqueux,1014,1100,86
Nandy,5814,5900,86
Moussy-le-Vieux,1014,1100,86
Bailly,3914,4000,86
Châteaumeillant,2015,2100,85
Gimont,2815,2900,85
Montoy-Flanville,1115,1200,85
Thionville,41015,41100,85
Waziers,7615,7700,85
Chéraute,1115,1200,85
Molsheim,9215,9300,85
Rocquencourt,3215,3300,85
Plestin-les-Grèves,3616,3700,84
Saint-Jean-de-Védas,8716,8800,84
La Trinité-Porhoët,716,800,84
Meisenthal,716,800,84
Ger,1916,2000,84
Gray,6016,6100,84
Oissel,11516,11600,84
Carmaux,10116,10200,84
Delle,5916,6000,84
Rocquigny,717,800,83
Firmi,2517,2600,83
Saint-Rémy-de-Provence,10617,10700,83
Souillac,3817,3900,83
Folschviller,4217,4300,83
Locon,2317,2400,83
Beuvry,8817,8900,83
Neuf-Brisach,2017,2100,83
Bassens,3717,3800,83
Saint-Pierre-lès-Nemours,5617,5700,83
Bellac,4317,4400,83
Le Cheylard,3218,3300,82
Châteauneuf-sur-Charente,3418,3500,82
La Courtine,818,900,82
Chaillac,1118,1200,82
Beaune-la-Rolande,2018,2100,82
Siros,618,700,82
Nay,3218,3300,82
Marckolsheim,4218,4300,82
Houches,3018,3100,82
Bessines-sur-Gartempe,2818,2900,82
Sevenans,718,800,82
Nogentel,1019,1100,81
Mussy-sur-Seine,1119,1200,81
Grentheville,919,1000,81
Le Buisson-de-Cadouin,2119,2200,81
Montagne,1619,1700,81
Haillicourt,4919,5000,81
Hattstatt,819,900,81
Le Houlme,4019,4100,81
Le Crotoy,2219,2300,81
Sablet,1219,1300,81
Châtelaudren,1020,1100,80
Lestiac-sur-Garonne,620,700,80
Argenton-sur-Creuse,5120,5200,80
Braslou,320,400,80
Saint-Julien-de-Concelles,6820,6900,80
Aiguillon,4320,4400,80
Fagnières,4420,4500,80
Dun-sur-Meuse,720,800,80
Ambert,6920,7000,80
Messeix,1120,1200,80
Aubergenville,12020,12100,80
Magné,2820,2900,80
Aulnay-sous-Bois,82120,82200,80
Vivier-au-Court,3321,3400,79
Montréal,1921,2000,79
Trouville-sur-Mer,4821,4900,79
Minot,221,300,79
L'Île-Bouchard,1721,1800,79
L'Étrat,2621,2700,79
